stop_id,stop_name,latitude,longitude,nearest_library_km
L0100,Alexandra Arena,53.262148,-113.552313,16.204165452022302
3900,Mill Woods Stop,53.458427,-113.430688,0.4126779222930828
4352,119 Street & 34 Avenue,53.46719,-113.538933,2.6861873118810564
1987,109 Street & Kingsway,53.560528,-113.508606,1.5752990183805673
22732,104 Street & Saskatchewan Drive,53.522846,-113.497704,0.3776535480841839
1091,45 Street & 118 Avenue,53.570427,-113.411149,1.3719321362798924
A0351,Forest Dr & Fernwood Cres,53.635084,-113.598261,5.814230429782027
P0079,Westwind Drive & Kenton Way,53.565657,-113.882407,15.008349973752416
F2009,94 Avenue and 90 Street EB,53.694591,-113.227566,14.231058831792305
4431,106 Street & 36A Avenue,53.471496,-113.503981,0.8893092790521753
5863,175 Street & 87 Avenue,53.519945,-113.623981,1.805503298673511
A0429,Dorchester Dr & Danforth Cr,53.653008,-113.64553,9.48199213415633
2980,115 Street & 51 Avenue,53.488388,-113.529434,1.9506301952370297
3482,92 Street & 34 Avenue,53.465473,-113.470741,2.66056501411587
A0683,Dawson Rd & Lambert Cres,53.643709,-113.635271,8.443589752087318
F4001,86 Avenue and 94 Street EB,53.693324,-113.211778,15.063068274043287
2491,65 Street & 106 Avenue,53.549365,-113.431728,1.0349413528272322
5555,175 Street & 95 Avenue,53.530047,-113.623917,2.3488480270849212
5313,164 Street & Stony Plain Road,53.541234,-113.603813,2.192719901670056
S8800,Premier Wy & Millennium Place,53.557508,-113.313966,5.31227831129931
7397,90 Street & 132 Avenue,53.592202,-113.480159,2.5968109426107033
77630,95 Street & 160 Avenue,53.621637,-113.487161,2.057917862082965
3356,Mill Woods Road E & 20 Avenue,53.452331,-113.409224,1.706671702398663
3272,97 Street & 31 Avenue,53.462866,-113.480861,2.409865183986256
77659,77 Street & Crystallina Nera Way,53.642661,-113.461512,3.7047767116621886
5070,165 Street & 87 Avenue,53.519677,-113.609511,1.3276805184199059
22170,47 Street & 53 Avenue,53.49043,-113.412341,4.159614173188324
8711,186 Street & 111 Avenue,53.559297,-113.643282,4.292837310486001
8212,170 Street & 118 Avenue,53.570578,-113.617166,4.262182290584751
7556,66 Street & 132 Avenue,53.592766,-113.442801,1.2033497306229466
3846,24 Street & 20 Avenue,53.450899,-113.376939,0.8540359963115668
A0398,Richardson Dr East,53.604722,-113.644338,6.933713104969249
3011,Lakewood 3011,53.458553,-113.44566,0.8253086054783816
3560,48 Street & 32 Avenue,53.462941,-113.41594,1.481968229045472
4229,114 Street & 40 Avenue,53.476099,-113.526522,1.534231847785707
A0539,Nakî Transit Station and Park and Ride,53.615613,-113.592434,4.334366236105265
7529,26 Street & 151 Avenue,53.612805,-113.378167,2.0198289486519756
3125,17 Street & Tamarack Gate,53.472357,-113.367743,1.6626004267439816
A0331,Arlington Dr & Abbey Cres,53.629376,-113.591736,5.196086485636713
ODT-2320,81 Street & 76 Avenue,53.512247,-113.451697,1.3524560290354537
1963,109 Street & 108 Avenue,53.55334,-113.50862,1.6675575476196771
7427,78 Street & 154 Avenue,53.616875,-113.462269,1.8519956539127564
99067,Desrochers Drive & Davidson Wynd SW,53.399784,-113.552255,1.2991064432492794
ODT-2938,124 Street & 49 Avenue,53.487007,-113.546392,2.928265552445762
A0805,Deer Ridge Dr & Dubonnet Way,53.653618,-113.661185,10.450184920659508
5276,168 Street & 93 Avenue,53.528315,-113.611166,1.4891189560658766
77265,Brintnell Boulevard & 163 Avenue,53.624944,-113.403096,0.6358468688076094
E156,Rogers Place,53.547615,-113.498147,0.7259664588988376
2476,50 Street & 94B Avenue,53.533982,-113.419346,1.0916561748353033
S6036,Fir St & Oak St,53.51942,-113.30814,7.9765982020800905
3224,Mill Woods Road & Lakewood Road N,53.462521,-113.449995,1.3023295771502603
1467,105 Street & 120 Avenue,53.573305,-113.501149,1.1853276649916804
99013,Heritage Valley Trail & Chappelle Road SW,53.399423,-113.563606,1.9501006770835094
5479,135 Street & Dovercourt Avenue,53.575959,-113.55796,1.3850511368381262
3060,Knottwood Road E & 17 Avenue,53.447999,-113.440783,0.9314796429069782
9304,Watt Common & Ellerslie Road SW,53.423949,-113.425806,3.5513007031004027
1157,66 Street & 118 Avenue,53.570444,-113.444071,0.06660051126540156
2715,Bonnie Doon Stop,53.519699,-113.455351,0.5006023263066727
5650,172 Street & 63 Avenue,53.499451,-113.620838,0.593159644184463
3743,99 Street & 22 Avenue,53.453238,-113.485826,3.1639103292959367
2768,109 Street & Saskatchewan Drive,53.523805,-113.510654,0.9989262741107425
2738,75 Street & Roper Road,53.491766,-113.442961,3.6964111749653608
4582,111 Street & 29A Avenue,53.461084,-113.514954,2.170698933747295
4598,107 Street & 42 Avenue,53.479154,-113.508328,0.2816577473561171
8749,Suder Greens Drive & Picard Drive,53.52273,-113.674736,0.49684905002208113
5914,189 Street & 93 Avenue,53.528232,-113.648757,1.341505045153619
77274,66 Street & 163 Avenue,53.624511,-113.442742,2.1163435997037583
8220,180 Street & 102 Avenue,53.543253,-113.632354,3.197477085547522
6406,170 Street & 132 Avenue,53.59192,-113.614898,4.805163940050136
2184,86 Street & Wagner Road,53.497612,-113.455067,2.895854314176256
7633,Hooke Road & Hermitage Road,53.580752,-113.376419,1.3789930838062507
S4200,Ordze Transit Centre,53.51362,-113.330802,6.775989631710213
8303,178 Street & 116 Avenue nearside,53.567234,-113.627428,4.889442073450732
4688,Leger Boulevard & Leigh Crescent,53.460217,-113.570563,1.2639202903628735
11308,106 Street & 111 Avenue,53.560536,-113.503216,1.262368342884892
4675,Tomlinson Common & 18 Avenue,53.449938,-113.58615,2.0601607978718617
5843,178 Street & 85 Avenue,53.518603,-113.630808,1.6804027589154682
4260,119 Street & 32A Avenue,53.46481,-113.538985,2.833199467807804
9282,141 Street & 28 Avenue SW,53.410865,-113.565193,1.8752494165964604
A0883,Pineview Dr & Page Dr,53.639049,-113.585358,5.235098768639666
