stop_id,stop_code,stop_name,stop_desc,latitude,longitude,zone_id,parent_station,level_name,geometry_point,,
L0100,100,Alexandra Arena,,53.262148,-113.552313,9LT,,Ground Level,POINT (-113.552313 53.262148),,
3900,3900,Mill Woods Stop,,53.458427,-113.430688,1EDM,QMW,Ground Level,POINT (-113.430688 53.458427),,
4352,4352,119 Street & 34 Avenue,,53.46719,-113.538933,1EDM,,Ground Level,POINT (-113.538933 53.46719),,
1987,1987,109 Street & Kingsway,,53.560528,-113.508606,1EDM,,Ground Level,POINT (-113.508606 53.560528),,
22732,22732,104 Street & Saskatchewan Drive,,53.522846,-113.497704,1EDM,,Ground Level,POINT (-113.497704 53.522846),,
1091,1091,45 Street & 118 Avenue,,53.570427,-113.411149,1EDM,,Ground Level,POINT (-113.411149 53.570427),,
A0351,351,Forest Dr & Fernwood Cres,,53.635084,-113.598261,2STA,,Ground Level,POINT (-113.598261 53.635084),,
P0079,P0079,Westwind Drive & Kenton Way,,53.565657,-113.882407,5SGT,,Ground Level,POINT (-113.882407 53.565657),,
F2009,2009,94 Avenue and 90 Street EB,,53.694591,-113.227566,6FST,,Ground Level,POINT (-113.227566 53.694591),,
4431,4431,106 Street & 36A Avenue,,53.471496,-113.503981,1EDM,,Ground Level,POINT (-113.503981 53.471496),,
5863,5863,175 Street & 87 Avenue,,53.519945,-113.623981,1EDM,,Ground Level,POINT (-113.623981 53.519945),,
A0429,429,Dorchester Dr & Danforth Cr,,53.653008,-113.64553,2STA,,Ground Level,POINT (-113.64553 53.653008),,
2980,2980,115 Street & 51 Avenue,,53.488388,-113.529434,1EDM,,Ground Level,POINT (-113.529434 53.488388),,
3482,3482,92 Street & 34 Avenue,,53.465473,-113.470741,1EDM,,Ground Level,POINT (-113.470741 53.465473),,
A0683,683,Dawson Rd & Lambert Cres,,53.643709,-113.635271,2STA,,Ground Level,POINT (-113.635271 53.643709),,
F4001,4001,86 Avenue and 94 Street EB,,53.693324,-113.211778,6FST,,Ground Level,POINT (-113.211778 53.693324),,
2491,2491,65 Street & 106 Avenue,,53.549365,-113.431728,1EDM,,Ground Level,POINT (-113.431728 53.549365),,
5555,5555,175 Street & 95 Avenue,,53.530047,-113.623917,1EDM,,Ground Level,POINT (-113.623917 53.530047),,
5313,5313,164 Street & Stony Plain Road,,53.541234,-113.603813,1EDM,,Ground Level,POINT (-113.603813 53.541234),,
S8800,8800,Premier Wy & Millennium Place,,53.557508,-113.313966,4SCT,,Ground Level,POINT (-113.313966 53.557508),,
7397,7397,90 Street & 132 Avenue,,53.592202,-113.480159,1EDM,,Ground Level,POINT (-113.480159 53.592202),,
77630,77630,95 Street & 160 Avenue,,53.621637,-113.487161,1EDM,,Ground Level,POINT (-113.487161 53.621637),,
3356,3356,Mill Woods Road E & 20 Avenue,,53.452331,-113.409224,1EDM,,Ground Level,POINT (-113.409224 53.452331),,
3272,3272,97 Street & 31 Avenue,,53.462866,-113.480861,1EDM,,Ground Level,POINT (-113.480861 53.462866),,
77659,77659,77 Street & Crystallina Nera Way,,53.642661,-113.461512,1EDM,,Ground Level,POINT (-113.461512 53.642661),,
5070,5070,165 Street & 87 Avenue,,53.519677,-113.609511,1EDM,,Ground Level,POINT (-113.609511 53.519677),,
22170,22170,47 Street & 53 Avenue,,53.49043,-113.412341,1EDM,,Ground Level,POINT (-113.412341 53.49043),,
8711,8711,186 Street & 111 Avenue,,53.559297,-113.643282,1EDM,,Ground Level,POINT (-113.643282 53.559297),,
8212,8212,170 Street & 118 Avenue,,53.570578,-113.617166,1EDM,,Ground Level,POINT (-113.617166 53.570578),,
7556,7556,66 Street & 132 Avenue,,53.592766,-113.442801,1EDM,,Ground Level,POINT (-113.442801 53.592766),,
3846,3846,24 Street & 20 Avenue,,53.450899,-113.376939,1EDM,,Ground Level,POINT (-113.376939 53.450899),,
A0398,398,Richardson Dr East,,53.604722,-113.644338,2STA,,Ground Level,POINT (-113.644338 53.604722),,
3011,3011,Lakewood 3011,,53.458553,-113.44566,1EDM,,Ground Level,POINT (-113.44566 53.458553),,
3560,3560,48 Street & 32 Avenue,,53.462941,-113.41594,1EDM,,Ground Level,POINT (-113.41594 53.462941),,
4229,4229,114 Street & 40 Avenue,,53.476099,-113.526522,1EDM,,Ground Level,POINT (-113.526522 53.476099),,
A0539,539,Nakî Transit Station and Park and Ride,,53.615613,-113.592434,2STA,,Ground Level,POINT (-113.592434 53.615613),,
7529,7529,26 Street & 151 Avenue,,53.612805,-113.378167,1EDM,,Ground Level,POINT (-113.378167 53.612805),,
3125,3125,17 Street & Tamarack Gate,,53.472357,-113.367743,1EDM,,Ground Level,POINT (-113.367743 53.472357),,
A0331,331,Arlington Dr & Abbey Cres,,53.629376,-113.591736,2STA,,Ground Level,POINT (-113.591736 53.629376),,
ODT-2320,2320,81 Street & 76 Avenue,Edmonton Transit On-Demand Stop,53.512247,-113.451697,1EDM,,Ground Level,POINT (-113.451697 53.512247),,
1963,1963,109 Street & 108 Avenue,,53.55334,-113.50862,1EDM,,Ground Level,POINT (-113.50862 53.55334),,
7427,7427,78 Street & 154 Avenue,,53.616875,-113.462269,1EDM,,Ground Level,POINT (-113.462269 53.616875),,
99067,99067,Desrochers Drive & Davidson Wynd SW,,53.399784,-113.552255,1EDM,,Ground Level,POINT (-113.552255 53.399784),,
ODT-2938,2938,124 Street & 49 Avenue,Edmonton Transit On-Demand Stop,53.487007,-113.546392,1EDM,,Ground Level,POINT (-113.546392 53.487007),,
A0805,805,Deer Ridge Dr & Dubonnet Way,,53.653618,-113.661185,2STA,,Ground Level,POINT (-113.661185 53.653618),,
5276,5276,168 Street & 93 Avenue,,53.528315,-113.611166,1EDM,,Ground Level,POINT (-113.611166 53.528315),,
77265,77265,Brintnell Boulevard & 163 Avenue,,53.624944,-113.403096,1EDM,,Ground Level,POINT (-113.403096 53.624944),,
E156,E156,Rogers Place,,53.547615,-113.498147,,Q1859,Pedway Level,POINT (-113.498147 53.547615),,
2476,2476,50 Street & 94B Avenue,,53.533982,-113.419346,1EDM,,Ground Level,POINT (-113.419346 53.533982),,
S6036,6036,Fir St & Oak St,,53.51942,-113.30814,4SCT,,Ground Level,POINT (-113.30814 53.51942),,
3224,3224,Mill Woods Road & Lakewood Road N,,53.462521,-113.449995,1EDM,,Ground Level,POINT (-113.449995 53.462521),,
1467,1467,105 Street & 120 Avenue,,53.573305,-113.501149,1EDM,,Ground Level,POINT (-113.501149 53.573305),,
